Indicators,Period,State,Gender,Age ,Data Source,Program Area,Values
Percentage of children under 6 months who were exclusively breastfed,2000,Abia,Female,Under 6 months,WHO,RMNCH+N,231
Percentage of children under 6 months who were exclusively breastfed,2000,Abia,Male,Under 6 months,WHO,RMNCH+N,84
Percentage of children under 6 months who were exclusively breastfed,2001,Abia,Female,Under 6 months,WHO,RMNCH+N,60
Percentage of children under 6 months who were exclusively breastfed,2001,Abia,Male,Under 6 months,WHO,RMNCH+N,176
Percentage of children under 6 months who were exclusively breastfed,2002,Abia,Female,Under 6 months,WHO,RMNCH+N,194
Percentage of children under 6 months who were exclusively breastfed,2002,Abia,Male,Under 6 months,WHO,RMNCH+N,119
Percentage of children under 6 months who were exclusively breastfed,2003,Abia,Female,Under 6 months,WHO,RMNCH+N,133
Percentage of children under 6 months who were exclusively breastfed,2003,Abia,Male,Under 6 months,WHO,RMNCH+N,194
Percentage of children under 6 months who were exclusively breastfed,2004,Abia,Female,Under 6 months,WHO,RMNCH+N,58
Percentage of children under 6 months who were exclusively breastfed,2004,Abia,Male,Under 6 months,WHO,RMNCH+N,92
Percentage of children under 6 months who were exclusively breastfed,2005,Abia,Female,Under 6 months,WHO,RMNCH+N,41
Percentage of children under 6 months who were exclusively breastfed,2005,Abia,Male,Under 6 months,WHO,RMNCH+N,100
Percentage of children under 6 months who were exclusively breastfed,2006,Abia,Female,Under 6 months,WHO,RMNCH+N,59
Percentage of children under 6 months who were exclusively breastfed,2006,Abia,Male,Under 6 months,WHO,RMNCH+N,123
Percentage of children under 6 months who were exclusively breastfed,2007,Abia,Female,Under 6 months,WHO,RMNCH+N,168
Percentage of children under 6 months who were exclusively breastfed,2007,Abia,Male,Under 6 months,WHO,RMNCH+N,146
Percentage of children under 6 months who were exclusively breastfed,2008,Abia,Female,Under 6 months,WHO,RMNCH+N,138
Percentage of children under 6 months who were exclusively breastfed,2008,Abia,Male,Under 6 months,WHO,RMNCH+N,197
Percentage of children under 6 months who were exclusively breastfed,2009,Abia,Female,Under 6 months,WHO,RMNCH+N,166
Percentage of children under 6 months who were exclusively breastfed,2009,Abia,Male,Under 6 months,WHO,RMNCH+N,180
Percentage of children under 6 months who were exclusively breastfed,2010,Abia,Female,Under 6 months,WHO,RMNCH+N,127
Percentage of children under 6 months who were exclusively breastfed,2010,Abia,Male,Under 6 months,WHO,RMNCH+N,176
Percentage of children under 6 months who were exclusively breastfed,2011,Abia,Female,Under 6 months,WHO,RMNCH+N,156
Percentage of children under 6 months who were exclusively breastfed,2011,Abia,Male,Under 6 months,WHO,RMNCH+N,58
Percentage of children under 6 months who were exclusively breastfed,2000,Adamawa,Female,Under 6 months,WHO,RMNCH+N,115
Percentage of children under 6 months who were exclusively breastfed,2000,Adamawa,Male,Under 6 months,WHO,RMNCH+N,98
Percentage of children under 6 months who were exclusively breastfed,2001,Adamawa,Female,Under 6 months,WHO,RMNCH+N,179
Percentage of children under 6 months who were exclusively breastfed,2001,Adamawa,Male,Under 6 months,WHO,RMNCH+N,57
Percentage of children under 6 months who were exclusively breastfed,2002,Adamawa,Female,Under 6 months,WHO,RMNCH+N,82
Percentage of children under 6 months who were exclusively breastfed,2002,Adamawa,Male,Under 6 months,WHO,RMNCH+N,89
Percentage of children under 6 months who were exclusively breastfed,2003,Adamawa,Female,Under 6 months,WHO,RMNCH+N,178
Percentage of children under 6 months who were exclusively breastfed,2003,Adamawa,Male,Under 6 months,WHO,RMNCH+N,68
Percentage of children under 6 months who were exclusively breastfed,2004,Adamawa,Female,Under 6 months,WHO,RMNCH+N,37
Percentage of children under 6 months who were exclusively breastfed,2004,Adamawa,Male,Under 6 months,WHO,RMNCH+N,167
Percentage of children under 6 months who were exclusively breastfed,2005,Adamawa,Female,Under 6 months,WHO,RMNCH+N,33
Percentage of children under 6 months who were exclusively breastfed,2005,Adamawa,Male,Under 6 months,WHO,RMNCH+N,91
Percentage of children under 6 months who were exclusively breastfed,2006,Adamawa,Female,Under 6 months,WHO,RMNCH+N,16
Percentage of children under 6 months who were exclusively breastfed,2006,Adamawa,Male,Under 6 months,WHO,RMNCH+N,10
Percentage of children under 6 months who were exclusively breastfed,2007,Adamawa,Female,Under 6 months,WHO,RMNCH+N,119
Percentage of children under 6 months who were exclusively breastfed,2007,Adamawa,Male,Under 6 months,WHO,RMNCH+N,117
Percentage of children under 6 months who were exclusively breastfed,2008,Adamawa,Female,Under 6 months,WHO,RMNCH+N,2
Percentage of children under 6 months who were exclusively breastfed,2008,Adamawa,Male,Under 6 months,WHO,RMNCH+N,150
Percentage of children under 6 months who were exclusively breastfed,2009,Adamawa,Female,Under 6 months,WHO,RMNCH+N,31
Percentage of children under 6 months who were exclusively breastfed,2009,Adamawa,Male,Under 6 months,WHO,RMNCH+N,118
Percentage of children under 6 months who were exclusively breastfed,2010,Adamawa,Female,Under 6 months,WHO,RMNCH+N,61
Percentage of children under 6 months who were exclusively breastfed,2010,Adamawa,Male,Under 6 months,WHO,RMNCH+N,167
Percentage of children under 6 months who were exclusively breastfed,2011,Adamawa,Female,Under 6 months,WHO,RMNCH+N,35
Percentage of children under 6 months who were exclusively breastfed,2011,Adamawa,Male,Under 6 months,WHO,RMNCH+N,78
Percentage of children under 6 months who were exclusively breastfed,2000,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,103
Percentage of children under 6 months who were exclusively breastfed,2000,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,55
Percentage of children under 6 months who were exclusively breastfed,2001,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,163
Percentage of children under 6 months who were exclusively breastfed,2001,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,88
Percentage of children under 6 months who were exclusively breastfed,2002,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,37
Percentage of children under 6 months who were exclusively breastfed,2002,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,118
Percentage of children under 6 months who were exclusively breastfed,2003,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,123
Percentage of children under 6 months who were exclusively breastfed,2003,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,24
Percentage of children under 6 months who were exclusively breastfed,2004,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,188
Percentage of children under 6 months who were exclusively breastfed,2004,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,48
Percentage of children under 6 months who were exclusively breastfed,2005,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,122
Percentage of children under 6 months who were exclusively breastfed,2005,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,55
Percentage of children under 6 months who were exclusively breastfed,2006,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,168
Percentage of children under 6 months who were exclusively breastfed,2006,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,38
Percentage of children under 6 months who were exclusively breastfed,2007,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,124
Percentage of children under 6 months who were exclusively breastfed,2007,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,9
Percentage of children under 6 months who were exclusively breastfed,2008,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,20
Percentage of children under 6 months who were exclusively breastfed,2008,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,172
Percentage of children under 6 months who were exclusively breastfed,2009,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,152
Percentage of children under 6 months who were exclusively breastfed,2009,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,4
Percentage of children under 6 months who were exclusively breastfed,2010,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,189
Percentage of children under 6 months who were exclusively breastfed,2010,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,198
Percentage of children under 6 months who were exclusively breastfed,2011,Akwa Ibom,Female,Under 6 months,WHO,RMNCH+N,20
Percentage of children under 6 months who were exclusively breastfed,2011,Akwa Ibom,Male,Under 6 months,WHO,RMNCH+N,188
Percentage of children under 6 months who were exclusively breastfed,2000,Anambra,Female,Under 6 months,WHO,RMNCH+N,54
Percentage of children under 6 months who were exclusively breastfed,2000,Anambra,Male,Under 6 months,WHO,RMNCH+N,2
Percentage of children under 6 months who were exclusively breastfed,2001,Anambra,Female,Under 6 months,WHO,RMNCH+N,131
Percentage of children under 6 months who were exclusively breastfed,2001,Anambra,Male,Under 6 months,WHO,RMNCH+N,89
Percentage of children under 6 months who were exclusively breastfed,2002,Anambra,Female,Under 6 months,WHO,RMNCH+N,188
